ID Caso;ID Caso Relacionado;Año;Mes;Día;Código DANE de Municipio;Municipio;Departamento;Región;Modalidad;Presunto Responsable;Descripción Presunto Responsable;Abandono o Despojo Forzado de Tierras;Amenaza o Intimidación;Ataque Contra Misión Médica;Confinamiento o Restricción a la Movilidad;Desplazamiento Forzado;Extorsión;Lesionados Civiles;Pillaje;Tortura;Violencia Basada en Género;Otro Hecho Simultáneo;Total de Víctimas del Caso;Tipo de Armas;Latitud;Longitud
288736;;1985;01;10;13670;SAN PABLO;BOLIVAR;MAGDALENA MEDIO;INCURSIÓN;GUERRILLA;NO IDENTIFICADA;0;0;0;0;0;0;0;0;0;;;6;ARMA DE FUEGO;7,678133323;-74,0208328
288737;;1985;02;27;05250;EL BAGRE;ANTIOQUIA;BAJO CAUCA ANTIOQUEÑO;ATAQUE INDISCRIMINADO;AGENTE DEL ESTADO;POLICÍA NACIONAL;0;0;0;0;0;0;2;0;0;;;5;ARMA DE FUEGO;7,704633351;-74,66427726
288738;;1985;02;28;19212;CORINTO;CAUCA;NORTE DEL CAUCA;ASALTO;AGENTE DEL ESTADO;EJÉRCITO NACIONAL;0;0;0;0;0;0;0;0;0;;;5;ARMA DE FUEGO;3,188034135;-76,20802421
288739;;1985;03;05;23807;TIERRALTA;CORDOBA;URABA;RETENCIÓN/EJECUCIÓN;GRUPO ARMADO NO IDENTIFICADO;NO APLICA;0;0;0;0;0;0;0;0;1;;;4;ND;7,813896829;-76,16846678
288740;CR013199;1986;04;14;68190;CIMITARRA;SANTANDER;MAGDALENA MEDIO;INCURSIÓN;GRUPO PARAMILITAR;NO IDENTIFICADO;0;0;0;0;0;0;0;1;0;;;4;ARMA DE FUEGO;6,291230513;-74,09354275
288741;;1985;03;29;68190;CIMITARRA;SANTANDER;MAGDALENA MEDIO;RUTA;GUERRILLA;FARC;0;0;0;0;0;0;0;0;0;;;4;ARMA DE FUEGO;6,40972961;-74,17030427
288742;CR004942;1985;04;12;81300;FORTUL;ARAUCA;SARARE;ASALTO;GRUPO PARAMILITAR;MUERTE A SECUESTRADORES (MAS);1;1;0;0;1;0;0;1;1;;;4;ARMA DE FUEGO;6,750907234;-71,79124241
288743;;1985;04;25;68368;JESUS MARIA;SANTANDER;PROVINCIA DE VELEZ;RUTA;GRUPO ARMADO NO IDENTIFICADO;NO APLICA;0;0;0;0;0;0;0;0;0;;;6;ARMA DE FUEGO;5,872705896;-73,78997419
288744;;1985;05;03;54800;TEORAMA;NORTE DE SANTANDER;CATATUMBO;ASALTO;AGENTE DEL ESTADO - GRUPO PARAMILITAR;NO APLICA;0;0;0;0;0;0;0;0;0;;;5;ARMA DE FUEGO;8,760013794;-73,15714097
288745;;1985;05;07;19355;INZA;CAUCA;NORTE DEL CAUCA;DESCONOCIDA;GRUPO ARMADO NO IDENTIFICADO;NO APLICA;0;0;0;0;0;0;0;0;0;;;4;ARMA DE FUEGO;2,499058783;-76,13762531
288746;;1985;05;10;19100;BOLIVAR;CAUCA;PATIA;DESCONOCIDA;AGENTE DEL ESTADO;POLICÍA NACIONAL;0;0;0;0;0;0;0;0;0;;;4;ARMA DE FUEGO;1,853951938;-76,96337454
288747;;1985;05;15;05361;ITUANGO;ANTIOQUIA;NORTE DE ANTIOQUIA;RETENCIÓN/EJECUCIÓN;GUERRILLA;NO IDENTIFICADA;0;0;0;0;0;0;0;0;1;;;4;ARMA DE FUEGO;7,341549718;-75,67842277
